,,,,,,
,Language,Voice type,Language code,Voice name,SSML Gender,Sample
,Danish (Denmark),Premium,da-DK,da-DK-Wavenet-D,FEMALE,
,Danish (Denmark),Premium,da-DK,da-DK-Wavenet-E,FEMALE,
,Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-A,FEMALE,
,Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-B,MALE,
,Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-C,FEMALE,
,Dutch (Belgium),Standard,nl-BE,nl-BE-Standard-D,MALE,
,Dutch (Belgium),Premium,nl-BE,nl-BE-Wavenet-A,FEMALE,
,Dutch (Belgium),Premium,nl-BE,nl-BE-Wavenet-B,MALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-A,FEMALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-B,MALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-C,MALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-D,FEMALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-E,FEMALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-F,FEMALE,
,Dutch (Netherlands),Standard,nl-NL,nl-NL-Standard-G,MALE,
,Dutch (Netherlands),Premium,nl-NL,nl-NL-Wavenet-A,FEMALE,
,Dutch (Netherlands),Premium,nl-NL,nl-NL-Wavenet-B,MALE,
,Dutch (Netherlands),Premium,nl-NL,nl-NL-Wavenet-C,MALE,
,Dutch (Netherlands),Premium,nl-NL,nl-NL-Wavenet-D,FEMALE,
,Dutch (Netherlands),Premium,nl-NL,nl-NL-Wavenet-E,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Journey-D,MALE,
,English (Australia),Premium,en-AU,en-AU-Journey-F,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Journey-O,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Neural2-A,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Neural2-B,MALE,
,English (Australia),Premium,en-AU,en-AU-Neural2-C,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Neural2-D,MALE,
,English (Australia),Premium,en-AU,en-AU-News-E,FEMALE,
,English (Australia),Premium,en-AU,en-AU-News-F,FEMALE,
,English (Australia),Premium,en-AU,en-AU-News-G,MALE,
,English (Australia),Premium,en-AU,en-AU-Polyglot-1,MALE,
,English (Australia),Standard,en-AU,en-AU-Standard-A,FEMALE,
,English (Australia),Standard,en-AU,en-AU-Standard-B,MALE,
,English (Australia),Standard,en-AU,en-AU-Standard-C,FEMALE,
,English (Australia),Standard,en-AU,en-AU-Standard-D,MALE,
,English (Australia),Premium,en-AU,en-AU-Wavenet-A,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Wavenet-B,MALE,
,English (Australia),Premium,en-AU,en-AU-Wavenet-C,FEMALE,
,English (Australia),Premium,en-AU,en-AU-Wavenet-D,MALE,
,English (India),Premium,en-IN,en-IN-Journey-D,MALE,
,English (India),Premium,en-IN,en-IN-Journey-F,FEMALE,
,English (India),Premium,en-IN,en-IN-Journey-O,FEMALE,
,English (India),Premium,en-IN,en-IN-Neural2-A,FEMALE,
,English (India),Premium,en-IN,en-IN-Neural2-B,MALE,
,English (India),Premium,en-IN,en-IN-Neural2-C,MALE,
,English (India),Premium,en-IN,en-IN-Neural2-D,FEMALE,
,English (India),Standard,en-IN,en-IN-Standard-A,FEMALE,
,English (India),Standard,en-IN,en-IN-Standard-B,MALE,
,English (India),Standard,en-IN,en-IN-Standard-C,MALE,
,English (India),Standard,en-IN,en-IN-Standard-D,FEMALE,
,English (India),Standard,en-IN,en-IN-Standard-E,FEMALE,
,English (India),Standard,en-IN,en-IN-Standard-F,MALE,
,English (India),Premium,en-IN,en-IN-Wavenet-A,FEMALE,
,English (India),Premium,en-IN,en-IN-Wavenet-B,MALE,
,English (India),Premium,en-IN,en-IN-Wavenet-C,MALE,
,English (India),Premium,en-IN,en-IN-Wavenet-D,FEMALE,
,English (India),Premium,en-IN,en-IN-Wavenet-E,FEMALE,
,English (India),Premium,en-IN,en-IN-Wavenet-F,MALE,
,English (UK),Premium,en-GB,en-GB-Journey-D,MALE,
,English (UK),Premium,en-GB,en-GB-Journey-F,FEMALE,
,English (UK),Premium,en-GB,en-GB-Journey-O,FEMALE,
,English (UK),Premium,en-GB,en-GB-Neural2-A,FEMALE,
,English (UK),Premium,en-GB,en-GB-Neural2-B,MALE,
,English (UK),Premium,en-GB,en-GB-Neural2-C,FEMALE,
,English (UK),Premium,en-GB,en-GB-Neural2-D,MALE,
,English (UK),Premium,en-GB,en-GB-Neural2-F,FEMALE,
,English (UK),Premium,en-GB,en-GB-News-G,FEMALE,
,English (UK),Premium,en-GB,en-GB-News-H,FEMALE,
,English (UK),Premium,en-GB,en-GB-News-I,FEMALE,
,English (UK),Premium,en-GB,en-GB-News-J,MALE,
,English (UK),Premium,en-GB,en-GB-News-K,MALE,
,English (UK),Premium,en-GB,en-GB-News-L,MALE,
,English (UK),Premium,en-GB,en-GB-News-M,MALE,
,English (UK),Standard,en-GB,en-GB-Standard-A,FEMALE,
,English (UK),Standard,en-GB,en-GB-Standard-B,MALE,
,English (UK),Standard,en-GB,en-GB-Standard-C,FEMALE,
,English (UK),Standard,en-GB,en-GB-Standard-D,MALE,
,English (UK),Standard,en-GB,en-GB-Standard-F,FEMALE,
,English (UK),Standard,en-GB,en-GB-Standard-N,FEMALE,
,English (UK),Standard,en-GB,en-GB-Standard-O,MALE,
,English (UK),Studio,en-GB,en-GB-Studio-B,MALE,
,English (UK),Studio,en-GB,en-GB-Studio-C,FEMALE,
,English (UK),Premium,en-GB,en-GB-Wavenet-A,FEMALE,
,English (UK),Premium,en-GB,en-GB-Wavenet-B,MALE,
,English (UK),Premium,en-GB,en-GB-Wavenet-C,FEMALE,
,English (UK),Premium,en-GB,en-GB-Wavenet-D,MALE,
,English (UK),Premium,en-GB,en-GB-Wavenet-F,FEMALE,
,English (US),Premium,en-US,en-US-Casual-K,MALE,
,English (US),Premium,en-US,en-US-Journey-D,MALE,
,English (US),Premium,en-US,en-US-Journey-F,FEMALE,
,English (US),Premium,en-US,en-US-Journey-O,FEMALE,
,English (US),Premium,en-US,en-US-Neural2-A,MALE,
,English (US),Premium,en-US,en-US-Neural2-C,FEMALE,
,English (US),Premium,en-US,en-US-Neural2-D,MALE,
,English (US),Premium,en-US,en-US-Neural2-E,FEMALE,
,English (US),Premium,en-US,en-US-Neural2-F,FEMALE,
,English (US),Premium,en-US,en-US-Neural2-G,FEMALE,
,English (US),Premium,en-US,en-US-Neural2-H,FEMALE,
,English (US),Premium,en-US,en-US-Neural2-I,MALE,
,English (US),Premium,en-US,en-US-Neural2-J,MALE,
,English (US),Premium,en-US,en-US-News-K,FEMALE,
,English (US),Premium,en-US,en-US-News-L,FEMALE,
,English (US),Premium,en-US,en-US-News-N,MALE,
,English (US),Premium,en-US,en-US-Polyglot-1,MALE,
,English (US),Standard,en-US,en-US-Standard-A,MALE,
,English (US),Standard,en-US,en-US-Standard-B,MALE,
,English (US),Standard,en-US,en-US-Standard-C,FEMALE,
,English (US),Standard,en-US,en-US-Standard-D,MALE,
,English (US),Standard,en-US,en-US-Standard-E,FEMALE,
,English (US),Standard,en-US,en-US-Standard-F,FEMALE,
,English (US),Standard,en-US,en-US-Standard-G,FEMALE,
,English (US),Standard,en-US,en-US-Standard-H,FEMALE,
,English (US),Standard,en-US,en-US-Standard-I,MALE,
,English (US),Standard,en-US,en-US-Standard-J,MALE,
,English (US),Studio,en-US,en-US-Studio-O,FEMALE,
,English (US),Studio,en-US,en-US-Studio-Q,MALE,
,English (US),Premium,en-US,en-US-Wavenet-A,MALE,
,English (US),Premium,en-US,en-US-Wavenet-B,MALE,
,English (US),Premium,en-US,en-US-Wavenet-C,FEMALE,
,English (US),Premium,en-US,en-US-Wavenet-D,MALE,
,English (US),Premium,en-US,en-US-Wavenet-E,FEMALE,
,English (US),Premium,en-US,en-US-Wavenet-F,FEMALE,
,English (US),Premium,en-US,en-US-Wavenet-G,FEMALE,
,English (US),Premium,en-US,en-US-Wavenet-H,FEMALE,
,English (US),Premium,en-US,en-US-Wavenet-I,MALE,
,English (US),Premium,en-US,en-US-Wavenet-J,MALE,
,Filipino (Philippines),Standard,fil-PH,fil-PH-Standard-A,FEMALE,
,Filipino (Philippines),Standard,fil-PH,fil-PH-Standard-B,FEMALE,
,Filipino (Philippines),Standard,fil-PH,fil-PH-Standard-C,MALE,
,Filipino (Philippines),Standard,fil-PH,fil-PH-Standard-D,MALE,
,Filipino (Philippines),Premium,fil-PH,fil-PH-Wavenet-A,FEMALE,
,Filipino (Philippines),Premium,fil-PH,fil-PH-Wavenet-B,FEMALE,
,Filipino (Philippines),Premium,fil-PH,fil-PH-Wavenet-C,MALE,
,Filipino (Philippines),Premium,fil-PH,fil-PH-Wavenet-D,MALE,
,Filipino (Philippines),Premium,fil-PH,fil-ph-Neural2-A,FEMALE,
,Filipino (Philippines),Premium,fil-PH,fil-ph-Neural2-D,MALE,
,Finnish (Finland),Standard,fi-FI,fi-FI-Standard-A,FEMALE,
,Finnish (Finland),Standard,fi-FI,fi-FI-Standard-B,FEMALE,
,Finnish (Finland),Premium,fi-FI,fi-FI-Wavenet-A,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Journey-D,MALE,
,French (Canada),Premium,fr-CA,fr-CA-Journey-F,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Journey-O,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Neural2-A,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Neural2-B,MALE,
,French (Canada),Premium,fr-CA,fr-CA-Neural2-C,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Neural2-D,MALE,
,French (Canada),Standard,fr-CA,fr-CA-Standard-A,FEMALE,
,French (Canada),Standard,fr-CA,fr-CA-Standard-B,MALE,
,French (Canada),Standard,fr-CA,fr-CA-Standard-C,FEMALE,
,French (Canada),Standard,fr-CA,fr-CA-Standard-D,MALE,
,French (Canada),Premium,fr-CA,fr-CA-Wavenet-A,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Wavenet-B,MALE,
,French (Canada),Premium,fr-CA,fr-CA-Wavenet-C,FEMALE,
,French (Canada),Premium,fr-CA,fr-CA-Wavenet-D,MALE,
,French (France),Premium,fr-FR,fr-FR-Journey-D,MALE,
,French (France),Premium,fr-FR,fr-FR-Journey-F,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Journey-O,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Neural2-A,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Neural2-B,MALE,
,French (France),Premium,fr-FR,fr-FR-Neural2-C,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Neural2-D,MALE,
,French (France),Premium,fr-FR,fr-FR-Neural2-E,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Polyglot-1,MALE,
,French (France),Standard,fr-FR,fr-FR-Standard-A,FEMALE,
,French (France),Standard,fr-FR,fr-FR-Standard-B,MALE,
,French (France),Standard,fr-FR,fr-FR-Standard-C,FEMALE,
,French (France),Standard,fr-FR,fr-FR-Standard-D,MALE,
,French (France),Standard,fr-FR,fr-FR-Standard-E,FEMALE,
,French (France),Standard,fr-FR,fr-FR-Standard-F,FEMALE,
,French (France),Standard,fr-FR,fr-FR-Standard-G,MALE,
,French (France),Studio,fr-FR,fr-FR-Studio-A,FEMALE,
,French (France),Studio,fr-FR,fr-FR-Studio-D,MALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-A,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-B,MALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-C,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-D,MALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-E,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-F,FEMALE,
,French (France),Premium,fr-FR,fr-FR-Wavenet-G,MALE,
,Galician (Spain),Standard,gl-ES,gl-ES-Standard-A,FEMALE,
,Galician (Spain),Standard,gl-ES,gl-ES-Standard-B,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Journey-D,MALE,
,German (Germany),Premium,de-DE,de-DE-Journey-F,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Journey-O,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Neural2-A,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Neural2-B,MALE,
,German (Germany),Premium,de-DE,de-DE-Neural2-C,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Neural2-D,MALE,
,German (Germany),Premium,de-DE,de-DE-Neural2-F,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Polyglot-1,MALE,
,German (Germany),Standard,de-DE,de-DE-Standard-A,FEMALE,
,German (Germany),Standard,de-DE,de-DE-Standard-B,MALE,
,German (Germany),Standard,de-DE,de-DE-Standard-C,FEMALE,
,German (Germany),Standard,de-DE,de-DE-Standard-D,MALE,
,German (Germany),Standard,de-DE,de-DE-Standard-E,MALE,
,German (Germany),Standard,de-DE,de-DE-Standard-F,FEMALE,
,German (Germany),Standard,de-DE,de-DE-Standard-G,FEMALE,
,German (Germany),Standard,de-DE,de-DE-Standard-H,MALE,
,German (Germany),Studio,de-DE,de-DE-Studio-B,MALE,
,German (Germany),Studio,de-DE,de-DE-Studio-C,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-A,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-B,MALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-C,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-D,MALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-E,MALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-F,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-G,FEMALE,
,German (Germany),Premium,de-DE,de-DE-Wavenet-H,MALE,
,Greek (Greece),Standard,el-GR,el-GR-Standard-A,FEMALE,
,Greek (Greece),Standard,el-GR,el-GR-Standard-B,FEMALE,
,Greek (Greece),Premium,el-GR,el-GR-Wavenet-A,FEMALE,
,Gujarati (India),Standard,gu-IN,gu-IN-Standard-A,FEMALE,
,Gujarati (India),Standard,gu-IN,gu-IN-Standard-B,MALE,
,Gujarati (India),Standard,gu-IN,gu-IN-Standard-C,FEMALE,
,Gujarati (India),Standard,gu-IN,gu-IN-Standard-D,MALE,
,Gujarati (India),Premium,gu-IN,gu-IN-Wavenet-A,FEMALE,
,Gujarati (India),Premium,gu-IN,gu-IN-Wavenet-B,MALE,
,Gujarati (India),Premium,gu-IN,gu-IN-Wavenet-C,FEMALE,
,Gujarati (India),Premium,gu-IN,gu-IN-Wavenet-D,MALE,
,Hebrew (Israel),Standard,he-IL,he-IL-Standard-A,FEMALE,
,Hebrew (Israel),Standard,he-IL,he-IL-Standard-B,MALE,
,Hebrew (Israel),Standard,he-IL,he-IL-Standard-C,FEMALE,
,Hebrew (Israel),Standard,he-IL,he-IL-Standard-D,MALE,
,Hebrew (Israel),Premium,he-IL,he-IL-Wavenet-A,FEMALE,
,Hebrew (Israel),Premium,he-IL,he-IL-Wavenet-B,MALE,
,Hebrew (Israel),Premium,he-IL,he-IL-Wavenet-C,FEMALE,
,Hebrew (Israel),Premium,he-IL,he-IL-Wavenet-D,MALE,
,Hindi (India),Premium,hi-IN,hi-IN-Neural2-A,FEMALE,
,Hindi (India),Premium,hi-IN,hi-IN-Neural2-B,MALE,
,Hindi (India),Premium,hi-IN,hi-IN-Neural2-C,MALE,
,Hindi (India),Premium,hi-IN,hi-IN-Neural2-D,FEMALE,
,Hindi (India),Standard,hi-IN,hi-IN-Standard-A,FEMALE,
,Hindi (India),Standard,hi-IN,hi-IN-Standard-B,MALE,
,Hindi (India),Standard,hi-IN,hi-IN-Standard-C,MALE,
,Hindi (India),Standard,hi-IN,hi-IN-Standard-D,FEMALE,
,Hindi (India),Standard,hi-IN,hi-IN-Standard-E,FEMALE,
,Hindi (India),Standard,hi-IN,hi-IN-Standard-F,MALE,
,Hindi (India),Premium,hi-IN,hi-IN-Wavenet-A,FEMALE,
,Hindi (India),Premium,hi-IN,hi-IN-Wavenet-B,MALE,
,Hindi (India),Premium,hi-IN,hi-IN-Wavenet-C,MALE,
,Hindi (India),Premium,hi-IN,hi-IN-Wavenet-D,FEMALE,
,Hindi (India),Premium,hi-IN,hi-IN-Wavenet-E,FEMALE,
,Hindi (India),Premium,hi-IN,hi-IN-Wavenet-F,MALE,
,Hungarian (Hungary),Standard,hu-HU,hu-HU-Standard-A,FEMALE,
,Hungarian (Hungary),Standard,hu-HU,hu-HU-Standard-B,FEMALE,
,Hungarian (Hungary),Premium,hu-HU,hu-HU-Wavenet-A,FEMALE,
,Icelandic (Iceland),Standard,is-IS,is-IS-Standard-A,FEMALE,
,Icelandic (Iceland),Standard,is-IS,is-IS-Standard-B,FEMALE,
,Indonesian (Indonesia),Standard,id-ID,id-ID-Standard-A,FEMALE,
,Indonesian (Indonesia),Standard,id-ID,id-ID-Standard-B,MALE,
,Indonesian (Indonesia),Standard,id-ID,id-ID-Standard-C,MALE,
,Indonesian (Indonesia),Standard,id-ID,id-ID-Standard-D,FEMALE,
,Indonesian (Indonesia),Premium,id-ID,id-ID-Wavenet-A,FEMALE,
,Indonesian (Indonesia),Premium,id-ID,id-ID-Wavenet-B,MALE,
,Indonesian (Indonesia),Premium,id-ID,id-ID-Wavenet-C,MALE,
,Indonesian (Indonesia),Premium,id-ID,id-ID-Wavenet-D,FEMALE,
,Italian (Italy),Premium,it-IT,it-IT-Journey-D,MALE,
,Italian (Italy),Premium,it-IT,it-IT-Journey-F,FEMALE,
,Italian (Italy),Premium,it-IT,it-IT-Journey-O,FEMALE,
,Italian (Italy),Premium,it-IT,it-IT-Neural2-A,FEMALE,
,Italian (Italy),Premium,it-IT,it-IT-Neural2-C,MALE,
,Italian (Italy),Standard,it-IT,it-IT-Standard-A,FEMALE,
,Italian (Italy),Standard,it-IT,it-IT-Standard-B,FEMALE,
,Italian (Italy),Standard,it-IT,it-IT-Standard-C,MALE,
,Italian (Italy),Standard,it-IT,it-IT-Standard-D,MALE,
,Italian (Italy),Standard,it-IT,it-IT-Standard-E,FEMALE,
,Italian (Italy),Standard,it-IT,it-IT-Standard-F,MALE,
,Italian (Italy),Premium,it-IT,it-IT-Wavenet-A,FEMALE,
,Italian (Italy),Premium,it-IT,it-IT-Wavenet-B,FEMALE,
,Italian (Italy),Premium,it-IT,it-IT-Wavenet-C,MALE,
,Italian (Italy),Premium,it-IT,it-IT-Wavenet-D,MALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Neural2-B,FEMALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Neural2-C,MALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Neural2-D,MALE,
,Japanese (Japan),Standard,ja-JP,ja-JP-Standard-A,FEMALE,
,Japanese (Japan),Standard,ja-JP,ja-JP-Standard-B,FEMALE,
,Japanese (Japan),Standard,ja-JP,ja-JP-Standard-C,MALE,
,Japanese (Japan),Standard,ja-JP,ja-JP-Standard-D,MALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Wavenet-A,FEMALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Wavenet-B,FEMALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Wavenet-C,MALE,
,Japanese (Japan),Premium,ja-JP,ja-JP-Wavenet-D,MALE,
,Kannada (India),Standard,kn-IN,kn-IN-Standard-A,FEMALE,
,Kannada (India),Standard,kn-IN,kn-IN-Standard-B,MALE,
,Kannada (India),Standard,kn-IN,kn-IN-Standard-C,FEMALE,
,Kannada (India),Standard,kn-IN,kn-IN-Standard-D,MALE,
,Kannada (India),Premium,kn-IN,kn-IN-Wavenet-A,FEMALE,
,Kannada (India),Premium,kn-IN,kn-IN-Wavenet-B,MALE,
,Kannada (India),Premium,kn-IN,kn-IN-Wavenet-C,FEMALE,
,Kannada (India),Premium,kn-IN,kn-IN-Wavenet-D,MALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Neural2-A,FEMALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Neural2-B,FEMALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Neural2-C,MALE,
,Korean (South Korea),Standard,ko-KR,ko-KR-Standard-A,FEMALE,
,Korean (South Korea),Standard,ko-KR,ko-KR-Standard-B,FEMALE,
,Korean (South Korea),Standard,ko-KR,ko-KR-Standard-C,MALE,
,Korean (South Korea),Standard,ko-KR,ko-KR-Standard-D,MALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Wavenet-A,FEMALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Wavenet-B,FEMALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Wavenet-C,MALE,
,Korean (South Korea),Premium,ko-KR,ko-KR-Wavenet-D,MALE,
,Latvian (Latvia),Standard,lv-LV,lv-LV-Standard-A,MALE,
,Latvian (Latvia),Standard,lv-LV,lv-LV-Standard-B,MALE,
,Lithuanian (Lithuania),Standard,lt-LT,lt-LT-Standard-A,MALE,
,Lithuanian (Lithuania),Standard,lt-LT,lt-LT-Standard-B,MALE,
,Malay (Malaysia),Standard,ms-MY,ms-MY-Standard-A,FEMALE,
,Malay (Malaysia),Standard,ms-MY,ms-MY-Standard-B,MALE,
,Malay (Malaysia),Standard,ms-MY,ms-MY-Standard-C,FEMALE,
,Malay (Malaysia),Standard,ms-MY,ms-MY-Standard-D,MALE,
,Malay (Malaysia),Premium,ms-MY,ms-MY-Wavenet-A,FEMALE,
,Malay (Malaysia),Premium,ms-MY,ms-MY-Wavenet-B,MALE,
,Malay (Malaysia),Premium,ms-MY,ms-MY-Wavenet-C,FEMALE,
,Malay (Malaysia),Premium,ms-MY,ms-MY-Wavenet-D,MALE,
,Malayalam (India),Standard,ml-IN,ml-IN-Standard-A,FEMALE,
,Malayalam (India),Standard,ml-IN,ml-IN-Standard-B,MALE,
,Malayalam (India),Standard,ml-IN,ml-IN-Standard-C,FEMALE,
,Malayalam (India),Standard,ml-IN,ml-IN-Standard-D,MALE,
,Malayalam (India),Premium,ml-IN,ml-IN-Wavenet-A,FEMALE,
,Malayalam (India),Premium,ml-IN,ml-IN-Wavenet-B,MALE,
,Malayalam (India),Premium,ml-IN,ml-IN-Wavenet-C,FEMALE,
,Malayalam (India),Premium,ml-IN,ml-IN-Wavenet-D,MALE,
,Mandarin Chinese,Standard,cmn-CN,cmn-CN-Standard-A,FEMALE,
,Mandarin Chinese,Standard,cmn-CN,cmn-CN-Standard-B,MALE,
,Mandarin Chinese,Standard,cmn-CN,cmn-CN-Standard-C,MALE,
,Mandarin Chinese,Standard,cmn-CN,cmn-CN-Standard-D,FEMALE,
,Mandarin Chinese,Premium,cmn-CN,cmn-CN-Wavenet-A,FEMALE,
,Mandarin Chinese,Premium,cmn-CN,cmn-CN-Wavenet-B,MALE,
,Mandarin Chinese,Premium,cmn-CN,cmn-CN-Wavenet-C,MALE,
,Mandarin Chinese,Premium,cmn-CN,cmn-CN-Wavenet-D,FEMALE,
,Mandarin Chinese,Standard,cmn-TW,cmn-TW-Standard-A,FEMALE,
,Mandarin Chinese,Standard,cmn-TW,cmn-TW-Standard-B,MALE,
,Mandarin Chinese,Standard,cmn-TW,cmn-TW-Standard-C,MALE,
,Mandarin Chinese,Premium,cmn-TW,cmn-TW-Wavenet-A,FEMALE,
,Mandarin Chinese,Premium,cmn-TW,cmn-TW-Wavenet-B,MALE,
,Mandarin Chinese,Premium,cmn-TW,cmn-TW-Wavenet-C,MALE,
,Marathi (India),Standard,mr-IN,mr-IN-Standard-A,FEMALE,
,Marathi (India),Standard,mr-IN,mr-IN-Standard-B,MALE,
,Marathi (India),Standard,mr-IN,mr-IN-Standard-C,FEMALE,
,Marathi (India),Premium,mr-IN,mr-IN-Wavenet-A,FEMALE,
,Marathi (India),Premium,mr-IN,mr-IN-Wavenet-B,MALE,
,Marathi (India),Premium,mr-IN,mr-IN-Wavenet-C,FEMALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-A,FEMALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-B,MALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-C,FEMALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-D,MALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-E,FEMALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-F,FEMALE,
,Norwegian (Norway),Standard,nb-NO,nb-NO-Standard-G,MALE,
